epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,head_only,2.0938129561288017,0.1982142857142857,1.5921307106812794,0.3422459893048128,0.10199203187250996,9.999999999999999e-05
2,head_only,1.935741080556597,0.19464285714285715,1.5180545250574748,0.3422459893048128,0.1024,0.00019999999999999998
3,head_only,1.7709606749670845,0.38571428571428573,1.3077795505523682,0.5668449197860963,0.4444445786771368,0.00030000000000000003
4,head_only,1.5963269233703614,0.5357142857142857,1.1770797620217006,0.6096256684491979,0.5514407415413174,0.0002729156947814598
5,head_only,1.5103450741086688,0.5482142857142858,1.1230716307957966,0.5989304812834224,0.5244419922281223,0.00019890594171785125
6,head_only,1.4645824943270003,0.5875,1.100339946647485,0.6363636363636364,0.5778589010718829,0.000106215781169845
7,head_only,1.4353750501360212,0.6053571428571428,1.0911976943413417,0.6310160427807486,0.5701596848079606,3.0249704044094797e-05
8,head_only,1.421538734436035,0.5928571428571429,1.094338297843933,0.6363636363636364,0.5735374800637959,2.4169810641272435e-08
9,unfreeze,1.4061663252966745,0.6178571428571429,1.0470942581693332,0.6470588235294118,0.5807915749027828,9.999999999999999e-05
10,unfreeze,1.351136006627764,0.6428571428571429,0.9735322830577692,0.7379679144385026,0.676178032493822,0.00019999999999999998
11,unfreeze,1.2320703336170742,0.6875,0.9305775662263235,0.7486631016042781,0.7042453301368494,0.00030000000000000003
12,unfreeze,1.1667564119611467,0.7410714285714286,0.8913493218521277,0.7593582887700535,0.695219954648526,0.0002997091626353159
13,unfreeze,1.0858463372503009,0.7821428571428571,0.8446100776394209,0.7967914438502673,0.7503635901347573,0.00029880338987953793
14,unfreeze,1.0159896799496242,0.7982142857142858,0.8342093974351883,0.7754010695187166,0.7304930944755125,0.00029728615207651795
15,unfreeze,0.9456934571266175,0.8285714285714286,0.7891116179525852,0.8128342245989305,0.7690061090465539,0.00029516368388183493
16,unfreeze,0.9014752030372619,0.8517857142857143,0.7858587938050429,0.8074866310160428,0.7610902528671825,0.00029244470697256897
17,unfreeze,0.878670700958797,0.8660714285714286,0.8132734360794226,0.7967914438502673,0.7398840579710145,0.0002891403942080589
18,unfreeze,0.8537421294621059,0.875,0.776191576073567,0.8181818181818182,0.7781372308196184,0.0002852643237182269
19,unfreeze,0.8171887789453779,0.9017857142857143,0.7707916138072809,0.8502673796791443,0.8189185066524829,0.0002808324231081303
20,unfreeze,0.8103316443307059,0.8785714285714286,0.7717935579518477,0.8181818181818182,0.7796160170959433,0.00027586290400801567
21,unfreeze,0.8018171157155718,0.9089285714285714,0.7847124561667442,0.8074866310160428,0.769799237350782,0.00027037618723782384
22,unfreeze,0.7597609536988394,0.9214285714285714,0.7559436336159706,0.8449197860962567,0.8124533921843693,0.00026439481889366055
23,unfreeze,0.7370953747204372,0.9321428571428572,0.7855736774702867,0.8181818181818182,0.7743067268648665,0.0002579433777010516
24,unfreeze,0.6957020470074244,0.9392857142857143,0.7800097788373629,0.8074866310160428,0.7582596628178024,0.00025104837401568705
25,unfreeze,0.7077621851648603,0.9303571428571429,0.7809367726246516,0.8235294117647058,0.7835988025139276,0.00024373814088668382
26,unfreeze,0.6832715511322022,0.9517857142857142,0.7939015862842401,0.786096256684492,0.7289555971925743,0.00023604271763000905
27,unfreeze,0.6662383045469011,0.9607142857142857,0.7522197614113489,0.8235294117647058,0.7749019232830185,0.00022799372639048748
28,unfreeze,0.6770308750016348,0.9553571428571429,0.7589136573175589,0.839572192513369,0.8011996846087424,0.00021962424219962559
29,unfreeze,0.6337403535842896,0.9696428571428571,0.7691575537125269,0.8342245989304813,0.7996880787061237,0.00021096865706321231
30,unfreeze,0.6541283658572605,0.9607142857142857,0.7594142804543177,0.839572192513369,0.7993822091886609,0.00020206253863719038
31,unfreeze,0.6503813402993338,0.9714285714285714,0.7765408928195635,0.8074866310160428,0.7507879083132993,0.00019294248407252874
32,unfreeze,0.6851109896387373,0.9482142857142857,0.7537556576232115,0.839572192513369,0.7982083805007621,0.00018364596962967903
33,unfreeze,0.637115262235914,0.9785714285714285,0.7627902030944824,0.839572192513369,0.7982090739119115,0.0001742111966805832
34,unfreeze,0.6216793213571821,0.9732142857142857,0.7535686182479063,0.8235294117647058,0.7771894985691178,0.00016467693473104145
