run_id,manifest_path,checkpoint_path,model_type,base_channels,use_se,loss_type,hard_mining_ratio,augment_enabled,augment_factor,use_mixup,budget_per_class,budget_seed,used_pretrained_init,target_db5_keys,incremental_mode,incremental_reused_class_count,incremental_new_class_count,test_accuracy,test_macro_f1,test_macro_recall,event_action_accuracy,event_action_macro_f1,top_confusion_pair
s3_demo3_0317_ma_nbr_03_lr_up_lcb_focal_bc16_fz6_elr0p288,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_03_lr_up_lcb_focal_bc16_fz6_elr0p288/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8076923076923077,0.6269607843137255,0.6805555555555556,0.625,0.5857142857142857,CONTINUE<->WRIST_CW:4
s3_demo3_0317_ma_nbr_04_freeze_down_lcb_focal_bc16_fz4_elr0p24,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_04_freeze_down_lcb_focal_bc16_fz4_elr0p24/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7463702537871335,0.7916666666666666,0.8125,0.7267399267399267,CONTINUE<->WRIST_CW:3
s3_demo3_0317_ma_nbr_05_freeze_up_lcb_focal_bc16_fz8_elr0p24,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_nbr_05_freeze_up_lcb_focal_bc16_fz8_elr0p24/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cb_focal,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.7884615384615384,0.6174543946932006,0.6736111111111112,0.625,0.5814814814814815,CONTINUE<->WRIST_CW:5
s3_demo3_0317_ma_b10_baseline_s42,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_ma_b10_baseline_s42/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8653846153846154,0.7629551820728291,0.8055555555555556,0.8125,0.775946275946276,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_01_lcross_entropy_bc16_fz6_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8269230769230769,0.732568773778168,0.7777777777777778,0.75,0.7488344988344987,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_02_lcross_entropy_bc16_fz6_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9038461538461539,0.7561188811188811,0.75,0.6875,0.6748251748251749,TENSE_OPEN<->THUMB_UP:4
s3_demo3_0317_scr_tuned_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_03_lcross_entropy_bc16_fz6_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8846153846153846,0.7463702537871335,0.7916666666666666,0.8125,0.7267399267399267,CONTINUE<->WRIST_CW:3
s3_demo3_0317_scr_tuned_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_04_lcross_entropy_bc16_fz8_elr0p24_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.8461538461538461,0.6561032863849765,0.6736111111111112,0.625,0.5908496732026144,TENSE_OPEN<->THUMB_UP:3
s3_demo3_0317_scr_tuned_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_05_lcross_entropy_bc16_fz8_elr0p3_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9230769230769231,0.9227941176470589,0.9722222222222222,1.0,1.0,CONTINUE<->WRIST_CW:4
s3_demo3_0317_scr_tuned_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff,/home/ma-user/work/HuaWei_ict_rc/code/artifacts/splits/s3_demo3_0317_ma_b10_demo3_seed42_v2.json,artifacts/runs/s3_demo3_0317_scr_tuned_scr_06_lcross_entropy_bc16_fz8_elr0p36_ptoff/checkpoints/event_onset_best.ckpt,event_onset_two_stage_demo3,16,True,cross_entropy,0.0,False,1,False,0,42,False,"TENSE_OPEN,THUMB_UP,WRIST_CW",False,0,0,0.9423076923076923,0.8642857142857143,0.8541666666666666,0.8125,0.8190476190476191,THUMB_UP<->WRIST_CW:2
