run_id,training_config,checkpoint_path,output_path,metadata_path,emg_input_shape,imu_input_shape,device_target
smoke_release_s3,configs/training_event_onset.yaml,artifacts/runs/smoke_release_s3/checkpoints/event_onset_best.ckpt,artifacts/runs/smoke_release_s3/models/event_onset.mindir,artifacts/runs/smoke_release_s3/models/event_onset.model_metadata.json,"[1, 8, 24, 3]","[1, 6, 16]",CPU
smoke_release_s3_bg,configs/training_event_onset.yaml,artifacts/runs/smoke_release_s3_bg/checkpoints/event_onset_best.ckpt,artifacts/runs/smoke_release_s3_bg/models/event_onset.mindir,artifacts/runs/smoke_release_s3_bg/models/event_onset.model_metadata.json,"[1, 8, 24, 3]","[1, 6, 16]",CPU
