epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,head_only,0.9565202792485555,0.25,0.5100065246224403,0.6923076923076923,0.20454545454545453,9.999999999999999e-05
2,head_only,0.849656793806288,0.25,0.4825344793498516,0.6923076923076923,0.20454545454545453,0.00019999999999999998
3,head_only,0.7329720060030619,0.2916666666666667,0.5009366646409035,0.6923076923076923,0.21428571428571427,0.0003
4,head_only,0.678695923752255,0.4236111111111111,0.49433089792728424,0.6923076923076923,0.31862745098039214,0.00027720721442346387
5,head_only,0.6168861190478007,0.5347222222222222,0.4303368851542473,0.7692307692307693,0.49865459882583174,0.0002061909890123868
6,head_only,0.5957166684998406,0.5625,0.3853910230100155,0.7692307692307693,0.45990990990990993,0.00011371171566004985
7,head_only,0.5631183716985915,0.625,0.37790389358997345,0.7692307692307693,0.4654654654654655,3.509333353215331e-05
8,head_only,0.5616968009206984,0.625,0.3748636245727539,0.7692307692307693,0.4654654654654655,3.653924610263703e-07
9,unfreeze,0.5612491038110521,0.6180555555555556,0.351719968020916,0.7884615384615384,0.5099099099099099,9.999999999999999e-05
10,unfreeze,0.5137524604797363,0.7638888888888888,0.28347579576075077,0.8076923076923077,0.5252945252945254,0.00019999999999999998
11,unfreeze,0.40729113750987583,0.8194444444444444,0.22079933248460293,0.8653846153846154,0.6599099099099099,0.0003
12,unfreeze,0.27708044317033553,0.9444444444444444,0.1673535704612732,0.8846153846153846,0.6166666666666667,0.00029975647348418977
13,unfreeze,0.19919910033543906,0.9791666666666666,0.1268461535219103,0.8846153846153846,0.6166666666666667,0.0002989013716119331
14,unfreeze,0.09415058460500506,0.9791666666666666,0.09631531406193972,0.9038461538461539,0.7264705882352942,0.00029743440206447884
15,unfreeze,0.06513527987731828,1.0,0.09858369478024542,0.9038461538461539,0.7264705882352942,0.00029536159293436166
16,unfreeze,0.048436551458305784,1.0,0.0721712289378047,0.9230769230769231,0.7647727272727273,0.0002926914618389133
17,unfreeze,0.027951866595281497,0.9930555555555556,0.07425862236414105,0.9230769230769231,0.7647727272727273,0.0002894349809195462
18,unfreeze,0.035676626902487546,1.0,0.051834071637131274,0.9615384615384616,0.8809523809523809,0.00028560553175487107
19,unfreeze,0.015583201725449827,0.9930555555555556,0.06075759255327284,0.9615384615384616,0.8809523809523809,0.0002812188503729199
20,unfreeze,0.016242908210390143,1.0,0.0510699282749556,0.9615384615384616,0.8809523809523809,0.0002762929625884312
21,unfreeze,0.012563504899541536,1.0,0.05712780560133979,0.9615384615384616,0.8809523809523809,0.00027084810993091113
22,unfreeze,0.011453471043043666,1.0,0.04871016589459032,0.9615384615384616,0.8809523809523809,0.00026490666646784665
23,unfreeze,0.006752218947642379,1.0,0.06219946249620989,0.9615384615384616,0.8809523809523809,0.00025849304686486317
24,unfreeze,0.008227712862814466,1.0,0.0800527444225736,0.9423076923076923,0.8,0.0002516336060606264
25,unfreeze,0.008460049310492145,1.0,0.08582476412993856,0.9423076923076923,0.8,0.00024435653096874634
26,unfreeze,0.005402905193881856,1.0,0.054151652700966224,0.9615384615384616,0.8809523809523809,0.00023669172465170328
27,unfreeze,0.006805399743219216,1.0,0.04845198524708394,0.9615384615384616,0.8809523809523809,0.0002286706834427498
28,unfreeze,0.007917519607063796,1.0,0.03898234141524881,0.9615384615384616,0.8809523809523809,0.0002203263675207213
29,unfreeze,0.007365427109309369,1.0,0.05245291693427134,0.9615384615384616,0.8809523809523809,0.00021169306546959174
30,unfreeze,0.007039504125714302,1.0,0.059659901628037915,0.9615384615384616,0.8809523809523809,0.00020280625337932648
31,unfreeze,0.004859535683256884,1.0,0.06076706212479621,0.9615384615384616,0.8809523809523809,0.0001937024490670198
32,unfreeze,0.0035366176679316494,1.0,0.05233055190183222,0.9615384615384616,0.8809523809523809,0.0001844190620173508
33,unfreeze,0.004769148848329981,1.0,0.06191617106378544,0.9615384615384616,0.8809523809523809,0.00017499423965898684
